"Year","Day","Plant","VegType","Height","BLeaf","BStem","BDef","Ms","Ns","Cs","Mr","Cr","Nr"
1,1826,1,1,1,32.954342881452,0,0.00339107992629442,32.9577339613783,0,1.99955891170211,32.954342881452,1.99955891170192,0
1,1826,2,2,2,16.2725456452663,7.67512235685827,0.00241485551969837,23.9500828576443,0,0,23.6832700848277,0,0
1,1826,3,0,1,51.3981430650603,0,0.0053277962410891,51.4034708613014,0.524904388146546,0,51.3981430650603,0,0.524905128689837
1,1826,4,0,1,72.9829783547625,0,0.00760169719224272,72.9905800519547,0.348836834242693,3.54624224872054,72.9829783547625,3.54401995340486,0.374867394485382
1,1826,5,1,1,56.0777555295517,0,0.00577067907768972,56.0835262086294,0,0.223402356640834,56.0777555295517,0.223402356588405,0
1,1826,6,1,1,154.953964549345,0,0.0158547455267292,154.969819294872,0,0,154.953964549345,0,0
1,1826,7,1,1,60.2672263749862,0,0.00615302799460865,60.2733794029809,0,0,60.2672263749862,0,0
1,1826,8,2,2,75.6846108209358,35.5525770404596,0.011245069268456,111.248432930664,0,0,109.957106764947,0,0
1,1826,9,1,1,61.4892977275098,0,0.00630685298807482,61.4956045804979,0.113958700346129,0,61.4892977275098,0,0.113958724714823
1,1826,10,1,1,122.774480439572,0,0.0127361291851465,122.787216568758,0.262706508865506,7.10630477423794,122.774480439572,7.10630453505026,0.276824786332566
